,United States,"New York, NY","Los Angeles-Long Beach-Anaheim, CA","Chicago, IL","Dallas-Fort Worth, TX","Philadelphia, PA","Houston, TX","Washington, DC","Miami-Fort Lauderdale, FL","Atlanta, GA","Boston, MA","San Francisco, CA","Detroit, MI","Riverside, CA","Phoenix, AZ","Seattle, WA","Minneapolis-St Paul, MN","San Diego, CA","St. Louis, MO","Tampa, FL","Baltimore, MD","Denver, CO","Pittsburgh, PA","Portland, OR","Charlotte, NC","Sacramento, CA","San Antonio, TX","Orlando, FL","Cincinnati, OH","Cleveland, OH","Kansas City, MO","Las Vegas, NV","Columbus, OH","Indianapolis, IN","San Jose, CA","Austin, TX","Virginia Beach, VA","Nashville, TN","Providence, RI","Milwaukee, WI","Jacksonville, FL","Memphis, TN","Oklahoma City, OK","Louisville-Jefferson County, KY","Hartford, CT","Richmond, VA","New Orleans, LA","Buffalo, NY","Raleigh, NC","Birmingham, AL","Salt Lake City, UT","Rochester, NY","Grand Rapids, MI","Tucson, AZ","Tulsa, OK","Fresno, CA","Worcester, MA","Stamford, CT","Albuquerque, NM","Albany, NY","Omaha, NE","New Haven, CT","Bakersfield, CA","Knoxville, TN","Greenville, SC","Ventura, CA","Allentown, PA","El Paso, TX","Baton Rouge, LA","Dayton, OH","McAllen, TX","Columbia, SC","Greensboro, NC","Akron, OH","North Port-Sarasota-Bradenton, FL","Little Rock, AR","Stockton, CA","Charleston, SC","Syracuse, NY","Colorado Springs, CO","Winston-Salem, NC","Wichita, KS","Springfield, MA","Fort Myers, FL","Boise City, ID","Toledo, OH","Madison, WI","Lakeland, FL","Ogden, UT","Daytona Beach, FL","Des Moines, IA","Jackson, MS","Augusta, GA","Harrisburg, PA","Provo, UT","Fort Collins, CO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,NY,CA,IL,TX,PA,TX,DC,FL,GA,MA,CA,MI,CA,AZ,WA,MN,CA,MO,FL,MD,CO,PA,OR,NC,CA,TX,FL,OH,OH,MO,NV,OH,IN,CA,TX,VA,TN,RI,WI,FL,TN,OK,KY,CT,VA,LA,NY,NC,AL,UT,NY,MI,AZ,OK,CA,MA,CT,NM,NY,NE,CT,CA,TN,SC,CA,PA,TX,LA,OH,TX,SC,NC,OH,FL,AR,CA,SC,NY,CO,NC,KS,MA,FL,ID,OH,WI,FL,UT,FL,IA,MS,GA,PA,UT,CO
1/31/18,74,99,47,82,61,77,74,67,88,62,49,30,55,54,59,37,63,46,70,58,74,39,98,54,51,43,75,62,60,86,60,59,43,63,24,63,100,45,69,61,70,65,68,59,105,69,78,64,46,79,45,71,47,62,89,41,58,119,73,92,59,95,73,78,63,50,88,105,71,60,90,90,92,83,85,79,40,71,98,43,93,71,71,92,52,75,79,68,43,72,68,86,83,79,49,62
2/28/18,73,96,44,79,58,83,71,68,87,58,47,28,54,52,59,33,59,42,70,57,76,35,101,52,49,40,76,59,57,87,61,60,42,61,22,59,104,43,68,58,66,67,69,59,95,63,79,65,42,74,41,68,47,60,88,40,56,100,73,92,51,80,69,78,64,46,92,98,75,60,87,91,96,83,87,86,37,68,103,41,95,77,68,89,52,76,77,61,41,73,66,88,84,81,50,62
3/31/18,67,87,39,66,53,78,66,62,81,50,40,23,49,49,57,25,51,39,63,54,72,28,98,45,41,34,73,54,50,83,54,57,37,56,20,51,97,39,64,50,62,65,65,49,87,48,75,57,35,67,34,62,41,57,82,37,52,101,66,84,38,93,62,72,59,40,86,97,68,53,97,77,94,79,88,95,32,63,100,36,93,73,63,87,46,73,67,59,37,69,61,86,70,73,46,55
4/30/18,59,76,34,53,45,68,57,51,80,41,30,19,38,44,54,18,40,36,54,50,62,22,86,35,35,28,67,46,41,75,47,58,29,49,17,40,89,34,56,41,58,53,60,41,67,35,70,46,28,56,24,49,34,52,76,33,41,78,57,75,33,74,54,63,51,36,85,96,69,47,106,77,91,74,87,77,28,56,91,29,83,69,54,87,36,63,59,53,27,64,53,79,50,61,40,46
5/31/18,53,71,32,45,41,60,50,45,79,36,25,18,30,42,54,16,36,37,48,46,55,20,75,28,32,25,62,42,35,67,39,51,23,39,16,35,87,33,48,36,56,49,59,36,56,34,67,37,26,49,23,43,28,48,72,32,32,64,47,63,33,60,48,56,44,34,69,90,75,39,100,76,77,67,85,70,26,55,79,25,74,58,46,88,30,52,52,50,25,58,46,75,46,51,36,39
6/30/18,50,70,32,43,39,56,47,39,80,34,23,19,26,41,51,15,34,38,43,44,50,19,64,26,32,24,58,41,31,61,36,43,20,32,16,33,86,35,42,32,55,43,62,35,46,35,68,33,25,47,22,36,24,46,67,31,27,59,41,55,35,52,47,52,39,35,70,89,79,34,91,75,66,61,83,63,26,52,67,21,67,49,39,88,26,43,51,49,24,59,44,69,41,46,30,36
7/31/18,48,70,34,44,40,54,46,38,78,34,24,21,26,41,51,17,34,41,41,44,50,20,58,29,33,26,57,41,29,58,34,30,21,26,19,35,82,36,41,31,54,46,56,35,47,38,67,31,26,45,25,37,22,44,65,33,27,61,42,51,34,50,46,49,38,36,69,80,68,32,84,59,59,56,83,66,27,52,62,22,62,46,38,88,26,39,48,47,23,58,44,66,42,43,29,34
8/31/18,49,74,36,46,42,53,49,37,76,35,28,23,28,44,50,21,36,43,42,45,49,24,54,32,35,30,56,42,31,57,36,32,22,28,23,39,78,38,45,30,55,45,57,34,50,39,67,33,29,47,25,38,24,43,65,33,30,67,45,53,37,54,47,49,39,39,75,79,56,34,90,60,54,54,82,64,29,55,60,26,60,48,41,86,25,40,50,46,23,63,45,64,51,42,28,36
9/30/18,52,78,40,50,46,54,53,38,76,37,30,25,31,49,49,25,39,46,46,48,51,28,56,38,38,34,57,45,33,60,41,34,25,32,26,45,80,40,53,31,57,49,60,36,54,43,64,37,31,49,27,43,29,41,69,35,34,69,49,56,39,59,47,51,42,43,78,78,50,37,98,72,55,57,79,69,31,59,69,30,56,51,46,87,28,43,54,43,26,71,45,68,57,45,33,42
10/31/18,56,83,43,54,50,56,58,42,78,40,33,27,36,51,48,31,43,47,50,49,56,31,61,43,39,38,60,48,36,64,42,37,29,36,29,49,86,43,55,32,60,49,62,38,59,45,65,41,33,52,29,47,32,41,71,35,38,74,52,61,40,65,50,53,46,46,77,80,51,39,92,88,53,58,77,69,33,63,76,35,55,50,50,86,31,47,61,43,30,79,47,70,61,47,34,51
11/30/18,60,86,45,60,54,59,62,46,79,43,37,30,41,55,50,37,49,50,54,49,59,35,64,49,41,41,65,52,40,67,45,40,33,40,32,53,91,45,61,39,63,55,66,41,61,50,65,47,33,54,34,50,34,41,76,43,42,80,55,69,40,67,54,55,50,51,82,80,58,43,86,86,53,65,79,76,37,65,82,36,58,51,51,86,33,52,68,42,35,78,50,77,56,50,35,59
12/31/18,64,91,50,68,59,64,66,53,81,48,43,36,47,58,54,44,56,55,59,50,67,41,70,55,45,46,69,54,46,73,47,45,38,46,38,58,96,50,63,46,65,57,70,50,71,52,69,52,37,57,39,56,35,44,84,48,54,87,59,76,42,72,60,59,57,54,92,84,74,51,81,90,55,69,80,80,44,67,81,42,65,54,53,85,38,61,78,49,38,73,59,81,61,54,36,64
1/31/19,69,97,55,76,63,69,69,58,87,52,49,39,53,62,56,48,63,58,65,53,70,44,75,58,49,51,74,55,51,77,52,52,43,51,41,61,97,55,70,49,68,67,75,56,78,55,76,58,40,61,45,61,37,49,89,55,58,91,64,81,54,76,63,64,62,58,91,,78,57,105,90,60,72,81,83,49,70,89,45,69,60,61,87,45,69,81,54,41,77,66,90,74,60,41,71
2/28/19,71,98,57,77,63,69,77,55,91,57,49,38,57,63,56,46,62,60,64,55,71,43,82,58,49,50,75,56,52,80,56,54,44,55,41,58,96,58,74,,69,64,78,60,81,54,77,61,39,62,46,62,43,52,90,55,62,89,63,85,63,77,62,65,62,60,96,,65,61,110,86,63,74,78,78,50,70,96,45,64,65,64,90,47,73,81,56,41,81,70,90,95,61,45,75
3/31/19,67,95,54,69,61,63,73,45,91,54,44,33,54,62,55,37,56,57,58,56,64,37,81,51,45,44,73,55,48,76,54,55,39,51,35,49,93,54,71,44,68,62,77,54,73,50,77,60,35,57,41,55,41,53,83,52,53,81,58,83,61,72,65,60,58,58,92,,62,56,115,82,58,70,81,73,45,66,96,44,58,64,59,94,43,65,69,55,39,82,70,84,98,55,43,83
4/30/19,61,88,49,58,55,53,68,36,88,49,35,29,46,59,53,29,46,52,47,54,54,30,73,43,40,35,66,54,41,71,48,53,32,43,29,40,86,48,63,48,66,50,72,48,60,43,71,51,30,50,34,45,37,49,78,45,45,75,51,75,52,64,62,56,53,53,96,,76,48,106,67,48,66,84,77,39,60,86,35,49,58,48,96,35,55,59,51,32,81,69,74,95,48,36,79
5/31/19,55,82,45,50,51,47,56,31,86,41,29,27,38,56,51,23,39,47,41,53,46,27,63,36,36,30,62,50,34,63,40,52,26,34,27,36,78,43,53,51,61,42,64,43,52,36,68,43,28,45,28,37,28,47,77,40,35,67,45,62,42,54,59,50,48,45,86,,94,36,117,67,41,57,87,78,35,61,69,33,43,51,43,99,32,44,52,52,28,81,66,68,84,40,33,70
6/30/19,52,79,43,46,49,44,53,31,85,40,28,27,34,53,49,22,34,43,37,51,44,26,58,33,35,28,60,48,30,59,35,50,23,30,27,35,71,43,50,54,58,35,56,39,47,34,59,36,28,43,26,33,26,43,75,38,30,67,42,54,38,50,51,48,47,43,76,,95,28,118,64,35,52,88,75,34,61,59,29,40,48,39,99,30,39,49,52,25,83,58,66,78,39,34,52
7/31/19,52,79,43,47,49,46,53,34,84,40,29,28,33,51,47,23,34,43,37,51,45,28,55,33,35,29,60,49,29,57,35,51,22,29,31,36,70,47,50,52,54,34,54,39,48,36,57,37,30,42,27,32,26,44,72,42,31,69,40,50,36,50,53,44,47,42,72,,89,26,122,66,34,50,87,68,34,62,52,30,40,46,39,102,29,37,51,52,26,80,55,65,66,39,35,40
8/31/19,54,83,44,51,51,48,55,37,87,42,33,30,36,51,45,27,37,46,39,50,50,32,54,35,37,32,61,50,30,58,36,53,24,31,35,38,73,51,52,51,53,37,52,37,50,40,56,38,32,43,33,35,29,43,66,44,33,76,41,50,35,53,53,45,48,45,76,,91,28,117,75,35,53,86,66,35,61,51,31,42,44,38,103,30,38,51,51,29,82,56,69,61,40,35,38
9/30/19,56,87,46,55,54,51,59,39,88,45,35,31,40,51,44,29,40,48,41,50,53,35,54,39,39,35,63,52,32,59,38,55,26,32,39,42,76,55,52,49,55,40,54,40,54,42,60,40,33,47,34,38,33,42,65,45,35,80,42,52,35,56,54,46,49,48,82,89,94,32,126,75,37,55,82,67,35,63,53,36,42,43,40,101,34,39,56,51,31,83,58,70,61,40,37,43
10/31/19,59,90,48,60,57,51,62,39,88,47,37,32,44,52,42,31,44,49,43,52,54,37,57,44,41,37,66,54,35,61,40,57,29,34,40,44,79,59,54,51,56,43,56,41,56,45,60,41,35,50,34,42,37,41,65,43,38,85,43,58,40,57,55,48,52,50,88,87,92,35,123,88,40,59,79,71,37,67,58,43,42,46,41,97,39,44,60,54,35,82,63,70,64,40,37,49
11/30/19,61,92,49,65,60,54,66,42,87,50,40,34,49,54,42,34,49,49,46,53,56,39,61,47,42,40,71,55,37,64,42,59,33,37,42,47,84,63,56,57,57,45,59,46,61,47,63,44,37,52,36,44,40,39,65,47,42,88,45,63,45,61,63,49,55,51,90,,87,37,123,90,42,61,75,77,38,71,60,45,46,48,45,90,43,49,70,56,35,76,69,71,64,41,45,53
12/31/19,66,96,52,74,63,59,71,48,90,54,48,39,56,57,45,39,56,53,52,55,59,44,69,56,45,44,75,55,41,70,49,62,38,43,45,50,97,68,61,63,58,49,65,50,68,54,69,51,41,56,41,52,44,41,69,51,45,102,48,73,55,69,67,53,60,52,97,,89,41,124,93,47,66,76,91,41,76,69,45,52,53,54,87,46,56,79,59,41,75,80,75,67,44,48,58
1/31/20,70,103,54,81,67,65,75,52,91,59,54,42,63,60,46,40,61,56,58,55,65,45,73,59,48,46,80,55,44,73,56,63,42,49,48,53,100,68,67,73,61,51,68,58,76,57,80,59,42,58,43,55,52,43,72,54,50,108,52,80,61,74,78,57,63,54,102,,94,44,126,85,50,69,75,87,46,77,74,43,56,54,61,89,47,63,87,59,45,75,89,83,69,48,50,59
2/29/20,70,104,51,80,66,64,73,49,92,60,51,38,64,60,46,34,60,52,59,54,65,42,75,56,47,42,82,55,44,74,58,61,41,51,42,50,105,67,68,83,61,51,68,60,79,55,83,61,40,58,40,54,55,43,72,54,51,105,49,82,64,76,79,57,64,51,110,,97,44,121,70,53,71,72,89,44,75,81,48,54,60,62,91,44,63,87,60,47,73,93,82,71,52,46,59
3/31/20,64,100,43,70,61,55,66,38,88,54,39,29,58,55,41,24,51,43,51,48,59,32,70,44,41,34,77,49,38,67,52,52,34,44,31,41,101,64,63,80,56,46,63,53,70,43,77,55,33,51,33,46,49,39,66,45,45,89,43,75,54,63,80,51,56,45,102,,94,37,106,69,48,65,67,74,37,67,78,47,48,55,53,90,36,61,76,56,38,66,88,79,69,51,36,49
4/30/20,57,92,37,60,55,48,59,30,84,47,29,23,52,48,36,17,41,37,42,44,49,25,68,33,33,27,69,43,31,62,44,45,27,36,25,33,107,59,56,65,51,38,57,44,58,34,69,51,27,44,27,43,40,36,62,43,36,80,34,68,44,53,70,43,50,39,95,102,87,31,103,71,46,58,65,74,30,61,77,45,46,49,42,86,26,50,64,52,30,62,77,71,63,47,30,42
5/31/20,53,87,34,55,51,43,55,27,80,43,26,23,46,46,35,15,35,36,37,42,44,23,63,30,32,26,62,41,27,54,39,42,23,31,26,31,106,56,51,51,48,33,53,38,49,30,63,47,25,39,22,41,33,36,58,40,30,79,30,61,37,48,66,42,45,38,80,91,85,28,104,75,42,52,68,56,28,59,69,41,46,39,35,87,22,44,56,50,22,63,70,65,59,42,24,35
6/30/20,53,80,35,53,50,42,56,28,81,44,27,26,43,45,36,17,33,37,37,43,42,25,59,30,32,28,62,42,27,50,38,44,23,29,31,32,108,52,45,47,50,29,50,37,45,31,62,43,26,40,25,38,33,37,54,45,31,76,30,,39,45,62,43,48,40,74,,82,27,104,67,41,,71,46,31,62,,40,48,39,33,88,24,40,50,51,22,66,67,67,52,43,26,38
7/31/20,52,74,35,50,48,37,55,28,82,46,27,26,37,46,37,18,34,34,36,44,41,25,50,31,32,30,60,42,25,45,36,47,20,27,32,33,104,52,43,45,49,32,48,34,41,31,62,34,26,40,23,33,28,36,52,43,30,67,29,,39,44,65,45,48,41,62,79,79,24,104,58,35,,71,39,30,64,,43,45,37,32,105,24,38,47,49,19,68,65,64,48,40,25,37
8/31/20,49,68,35,47,47,34,53,26,82,44,25,26,33,42,35,17,34,31,34,39,39,24,44,30,28,28,59,41,23,40,33,44,19,25,33,32,98,55,38,42,47,31,47,32,35,28,60,29,24,40,21,31,27,31,48,38,28,56,28,,37,36,57,42,47,39,55,,71,21,101,57,33,,67,38,26,62,,43,41,38,30,103,25,35,46,48,19,67,63,61,42,35,24,37
9/30/20,47,65,33,45,45,33,50,25,79,42,25,25,31,35,32,16,34,28,31,35,37,24,42,28,25,24,57,38,21,40,31,42,19,23,30,31,85,55,36,42,44,31,45,29,41,25,61,26,21,35,17,32,22,26,46,31,26,56,25,38,43,39,51,40,43,35,52,84,69,19,95,54,29,36,61,39,20,58,37,47,35,36,27,100,22,31,53,42,17,62,62,59,42,32,21,35
10/31/20,44,63,32,42,44,32,49,22,75,39,26,24,29,29,29,16,33,25,29,31,31,23,41,27,23,21,56,37,20,38,29,39,18,21,30,28,70,54,32,45,41,28,42,26,39,23,55,26,19,32,16,30,21,23,41,27,23,55,25,38,40,34,40,36,40,31,47,89,65,18,79,46,27,36,56,42,17,52,35,51,30,34,26,77,20,27,52,37,17,55,58,55,39,28,21,36
11/30/20,42,63,31,42,43,31,47,21,75,38,27,25,30,27,28,18,34,24,30,30,28,23,42,27,23,20,54,36,20,39,28,41,19,22,30,27,61,51,32,48,38,26,40,24,39,23,51,27,19,30,15,30,21,25,40,26,23,55,24,38,39,36,36,34,41,28,41,96,67,18,66,47,27,35,52,46,17,49,33,51,27,29,26,71,17,25,54,33,15,49,56,51,40,25,19,38
12/31/20,43,66,33,46,44,31,46,22,77,38,31,29,32,28,29,20,37,26,33,30,28,25,45,30,23,21,53,38,23,47,29,43,21,24,34,27,52,52,35,52,37,25,42,25,32,23,45,30,21,30,19,32,23,26,40,27,24,53,27,41,30,32,35,34,42,27,34,52,64,20,70,46,26,36,50,48,18,49,37,49,27,29,28,65,16,27,54,34,16,45,59,47,36,25,18,42
1/31/21,,,,,,32,45,,,,,,,,,,,,37,31,29,,47,,,25,,,25,,,38,,22,,,51,,,56,36,,44,,35,24,44,31,23,,,,25,,,28,28,52,26,,34,35,,36,,,36,38,66,23,71,47,25,,,50,,,37,,27,35,29,58,18,31,,35,,46,66,,34,26,,44
2/28/21,,,,,,32,42,,,,,,,,,,,,36,29,28,,44,,,24,,,25,,,29,,19,,,48,,,57,31,,44,,34,22,40,28,22,,,,26,,,27,29,50,21,,29,32,,37,,,35,34,66,25,72,35,25,,,42,,,34,,27,36,30,47,16,32,,35,,43,65,,28,28,,40
3/31/21,,,,,,28,35,,,,,,,,,,,,27,25,22,,34,,,20,,,21,,,20,,13,,,41,,,53,24,,40,,27,17,34,23,18,,,,22,,,25,24,40,14,,22,27,,32,,,31,30,60,22,58,30,27,,,32,,,26,,25,30,27,35,13,28,,31,,37,53,,25,22,,34
4/30/21,,,,,,23,28,,,,,,,,,,,,20,20,18,,25,,,14,,,15,,,16,,11,,,26,,,48,17,,30,,18,11,26,18,14,,,,17,,,21,17,32,11,,12,18,,25,,,20,23,48,18,43,26,28,,,17,,,19,,28,22,23,28,9,23,,27,,29,34,,21,17,,29
5/31/21,,,,,,19,22,,,,,,,,,,,,15,14,14,,19,,,12,,,11,,,14,,10,,,19,,,41,14,,20,,13,8,22,16,12,,,,12,,,19,13,24,10,,11,13,,17,,,16,25,34,13,32,23,24,,,15,,,15,,26,16,17,23,7,16,,21,,23,19,,18,12,,35
6/30/21,,,,,,17,18,,,,,,,,,,,,15,11,13,,16,,,31,,,9,,,13,,9,,,17,,,35,13,,12,,12,9,19,15,11,,,,11,,,16,12,22,11,,10,13,,13,,,15,20,28,11,27,20,18,,,16,,,13,,23,14,16,18,8,14,,16,,20,12,,15,11,,34
7/31/21,,,,,,18,18,,,,,,,,,,,,14,10,13,,17,,,32,,,9,,,13,,9,,,21,,,30,13,,12,,13,10,19,15,11,,,,11,,,17,13,22,10,,11,14,,12,,,15,17,25,11,31,17,12,,,18,,,13,,17,10,14,16,9,13,,11,,19,13,,13,12,,36